UMAP_1,UMAP_2,cluster
7.019901,-6.5117393,14
-1.1608895,19.81572,2
0.045528628,-0.0054447567,7
-6.630076,-8.596545,18
8.457104,7.40021,0
-6.5008926,-0.95427215,7
-7.0054736,-8.545616,18
15.078453,13.459365,16
16.938963,4.1363263,4
-2.9938242,7.5741205,5
17.153877,-5.007453,12
1.2393774,7.05729,13
12.103642,12.628317,3
13.248985,-1.4397601,10
13.025153,3.5464926,4
-1.8748847,3.2576041,7
-9.129953,0.9641784,17
-4.537108,-0.8337937,7
12.956445,-1.5147896,10
-2.1526656,23.158745,2
16.710758,12.995751,16
12.311498,12.668005,3
-3.688046,-5.4277277,20
-4.081398,7.9215436,5
-3.2587647,-5.5535536,20
-11.322501,8.960656,15
7.478363,8.118448,0
10.906564,7.7787595,0
-2.4100454,7.061523,5
-5.994854,14.505348,9
6.4505787,20.717245,6
-1.8237033,14.350234,2
17.537245,7.6951923,0
11.72797,12.577857,3
15.755211,-0.8199478,10
17.677156,-4.8270698,12
-1.3284509,-11.853786,19
15.8126335,3.8734658,4
2.467615,10.571548,13
-3.8314676,-5.3566647,20
1.9274817,7.9401336,13
14.375043,-10.323881,1
-8.811969,7.5852084,15
10.491245,14.098127,3
7.7218156,17.37101,6
-5.1703377,8.043554,5
16.667936,-5.038589,12
-6.8916116,7.8064494,5
13.496586,-5.778511,1
-8.854599,7.576399,15
12.22388,-1.7316196,10
19.259987,5.4862556,4
10.312413,-2.4206905,10
-9.4087925,7.7451034,15
6.4165535,20.772001,6
6.808682,-5.883177,14
-6.712028,-8.568612,18
-1.3248369,16.297886,2
2.2901368,10.977189,13
11.470101,16.625132,3
7.280311,8.382377,0
-2.7295544,-11.098915,18
4.34859,22.316942,6
2.3985336,10.771541,13
3.2851927,17.331856,8
12.677229,-1.606215,10
11.574002,16.797054,3
2.3714538,8.658545,13
-8.031398,1.8711286,17
11.591073,-9.450821,1
7.3638425,1.7038867,4
-7.5044837,7.702489,5
9.044286,2.7397616,4
-6.073124,-8.783611,18
8.604344,7.3680677,0
12.205606,-1.7364507,10
14.682288,13.441876,16
-2.46867,23.421944,2
13.060862,20.018631,3
16.933718,12.859539,16
16.230183,8.016765,0
-9.131874,0.9588654,17
12.097919,17.620455,3
3.0859625,18.207382,8
13.445453,-5.81614,1
-11.736632,9.4268875,15
13.439602,-5.8164897,1
13.706928,-10.217752,1
12.015682,22.498575,3
-3.0730448,-0.89152145,7
10.4961195,14.089212,3
0.567304,0.57526606,7
-5.119856,8.045253,5
-3.371329,23.69001,2
0.6271075,1.1798548,7
13.070289,20.06226,3
-2.399362,-5.715928,20
-4.1370034,-5.184416,20
-3.1093647,-5.586575,20
3.085697,18.209833,8
-0.061820783,2.2792552,7
13.992763,-5.4925942,1
-9.129091,0.32271138,17
11.530755,-7.4419103,1
-5.8129296,8.019459,5
12.688666,-1.6030158,10
-1.2496811,3.0647762,7
9.24622,2.8306797,4
-8.969359,11.148523,11
-7.28903,-0.90132695,7
-2.0739832,-0.81501216,7
0.80428225,6.6877275,13
16.954796,-10.893051,1
9.142938,2.7878344,4
12.751034,21.075136,3
-1.8418006,3.2441895,7
16.269524,8.02035,0
13.439153,-5.8180904,1
11.38807,-7.6113963,1
0.4272483,1.6857495,7
12.453939,3.503118,4
12.858075,20.86303,3
-2.8245833,-0.8910495,7
14.989514,-1.1255647,10
16.179787,8.017989,0
-5.6416316,8.033915,5
-6.6345325,15.262934,9
-3.6906765,-10.453033,18
7.500349,8.089245,0
-0.51721436,-6.5950093,20
-3.8141217,-5.36621,20
11.3126745,7.894753,0
-1.1772562,18.920221,2
18.030087,-4.675907,12
-7.8685737,-8.804203,18
9.983545,3.063026,4
2.53085,-8.755667,20
11.522845,-7.448933,1
3.090882,17.834652,8
-8.868947,1.4280821,17
